section,key,value
meta,deploymentName,customer-enterprise-prod
meta,customerName,Example Customer
meta,customerShortName,acme
meta,environment,prod
meta,platform,splunk_enterprise
meta,topologyPattern,distributed_clustered
meta,splunkVersion,9.4.x
meta,description,"Enterprise-ready Splunk planning workbook with site-aware architecture, onboarding matrix, deployment guidance, validation, and troubleshooting."
requirements,dailyIngestTB,2.5
requirements,retentionDays,180
requirements,searchConcurrency,high
requirements,availabilityTarget,HA
requirements,drTarget,active-active capable
requirements,dataResidency,site-aware
requirements,compliance,"TLS, RBAC, change control"
globals,sshUser,splunkadm
globals,sshPassword,DemoSSH!234
globals,splunkAdminUser,admin
globals,splunkAdminPassword,DemoSplunk!234
globals,runtimeUser,splunk
globals,packageDir,/opt
globals,enterprisePackage,splunk-9.x-linux-x86_64.tgz
globals,forwarderPackage,splunkforwarder-9.x-linux-x86_64.tgz
globals,enterpriseHome,/opt/splunk
globals,forwarderHome,/opt/splunkforwarder
globals,receiverPort,9997
globals,deploymentPollInterval,60
globals,usePublicIpForSsh,true
globals,usePrivateIpForSplunk,true
globals,enableBootStart,true
globals,hecPort,8088
cluster,indexerClustering,true
cluster,searchHeadClustering,true
cluster,multisite,true
cluster,availableSites,"site1,site2"
cluster,siteReplicationFactor,"origin:1,total:2"
cluster,siteSearchFactor,"origin:1,total:2"
cluster,indexerReplicationFactor,3
cluster,indexerSearchFactor,2
cluster,indexerClusterSecret,DemoIdxc!234
cluster,indexerClusterLabel,prod_idxc
cluster,indexerReplicationPort,9887
cluster,searchHeadClusterSecret,DemoShc!234
cluster,searchHeadClusterLabel,prod_shc
cluster,searchHeadReplicationFactor,3
cluster,searchHeadReplicationPort,8181
cluster,kvstoreReplicationPort,8191
security,tlsEnabled,true
security,vpnOrPrivateAccess,true
security,hecEnabled,true
security,firewallReviewed,true
security,passwordRotation,true
security,notes,Restrict Splunk Web and management ports to admin networks only.
capacity,totalUsers,24
capacity,peakConcurrentSearches,18
capacity,scheduledSearches,60
capacity,growthPct,25
capacity,safetyPct,20
capacity,compressionRatio,0.5
capacity,rawDataPct,15
capacity,tsidxPct,35
capacity,peakBurstMultiplier,3
capacity,networkHeadroomPct,30
capacity,smartStore,false
capacity,smartStoreCacheDays,30
capacity,hotWarmDays,30
capacity,summaryAccelPct,10
capacity,plannedLanMbps,1000
capacity,plannedWanMbps,250
capacity,plannedIndexerCores,24
capacity,plannedIndexerRamGB,64
capacity,plannedIndexerUsableTB,6
capacity,plannedIndexerIops,4000
capacity,plannedSearchHeadCores,16
capacity,plannedSearchHeadRamGB,32
capacity,plannedSearchHeadStorageGB,300
capacity,plannedHFCores,12
capacity,plannedHFRamGB,12
capacity,notes,"Use data-source estimates first. Confirm per-tier load, RF and SF, available bandwidth, and machine BOM before freezing architecture."
